Date,Microsoft,Apple,Google, 
1/3/2022,334.75,182.01,145.07,
1/4/2022,329.01,179.7,144.42,
1/5/2022,316.38,174.92,137.65,
1/6/2022,313.88,172,137.55,
1/7/2022,314.04,172.17,137,
1/10/2022,314.27,172.19,138.57,
1/11/2022,314.98,175.08,140.02,
1/12/2022,318.27,175.53,141.65,
1/13/2022,304.8,172.19,139.13,
1/14/2022,310.2,173.07,139.79,
1/18/2022,302.65,169.8,136.29,
1/19/2022,303.33,166.23,135.65,
1/20/2022,301.6,164.51,133.51,
1/21/2022,296.03,162.41,130.09,
1/24/2022,296.37,161.62,130.37,
1/25/2022,288.49,159.78,126.74,
1/26/2022,296.71,159.69,129.24,
1/27/2022,299.84,159.22,129.12,
1/28/2022,308.26,170.33,133.29,
1/31/2022,310.98,174.78,135.7,
2/1/2022,308.76,174.61,137.88,
2/2/2022,313.46,175.84,148.04,
2/3/2022,301.25,172.9,142.65,
2/4/2022,305.94,172.39,143.02,
2/7/2022,300.95,171.66,138.94,
2/8/2022,304.56,174.83,139.21,
2/9/2022,311.21,176.28,141.45,
2/10/2022,302.38,172.12,138.6,
2/11/2022,295.04,168.64,134.13,
2/14/2022,295,168.88,135.3,
2/15/2022,300.47,172.79,136.43,
2/16/2022,299.5,172.55,137.49,
2/17/2022,290.73,168.88,132.31,
2/18/2022,287.93,167.3,130.47,
2/22/2022,287.72,164.32,129.4,
2/23/2022,280.27,160.07,127.58,
2/24/2022,294.59,162.74,132.67,
2/25/2022,297.31,164.85,134.52,
2/28/2022,298.79,165.12,134.89,
3/1/2022,294.95,163.2,134.17,
3/2/2022,300.19,166.56,134.75,
3/3/2022,295.92,166.23,134.31,
3/4/2022,289.86,163.17,132.12,
3/7/2022,278.91,159.3,126.46,
3/8/2022,275.85,157.44,127.28,
3/9/2022,288.5,162.95,133.87,
3/10/2022,285.59,158.52,132.68,
3/11/2022,280.07,154.73,130.48,
3/14/2022,276.44,150.62,126.74,
3/15/2022,287.15,155.09,129.66,
3/16/2022,294.39,159.59,133.69,
3/17/2022,295.22,160.62,134.6,
3/18/2022,300.43,163.98,136.8,
3/21/2022,299.16,165.38,136.48,
3/22/2022,304.06,168.82,140.28,
3/23/2022,299.49,170.21,138.5,
3/24/2022,304.1,174.07,141.31,
3/25/2022,303.68,174.72,141.52,
3/28/2022,310.7,175.6,141.95,
3/29/2022,315.41,178.96,143.25,
3/30/2022,313.86,177.77,142.64,
3/31/2022,308.31,174.61,139.65,
4/1/2022,309.42,174.31,140.7,
4/4/2022,314.97,178.44,143.64,
